Team1,Result,Winner,Toss,Bat,Team2,Ground,Start Date,Host_Country,Venue_Team 1,Venue_Team 2,Inning_Team1,Inning_Team2,Team1_Toss,Margin,Team2_Toss,pitch,Winner_Inning,pitchn
India,lost,England,lost,first,England,Cardiff,16-Sep-11,England,Away,Home,first,2nd,lost,6 wickets,won, fast/green,2ndinningwinner,fast/green/bouncy/swing
West Indies,won,West Indies,lost,first,Bangladesh,Dhaka,13-Oct-11,Bangladesh,Away,Home,first,2nd,lost,40 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Bangladesh,lost,West Indies,won,2nd,West Indies,Dhaka,13-Oct-11,Bangladesh,Home,Away,2nd,first,won,40 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
India,won,India,won,first,England,Hyderabad (Deccan),14-Oct-11,India,Home,Away,first,2nd,won,126 runs,lost,dusty/slow,1stinningwinner,flat/dead
England,lost,India,lost,2nd,India,Hyderabad (Deccan),14-Oct-11,India,Away,Home,2nd,first,lost,126 runs,won,dusty/slow,1stinningwinner,flat/dead
West Indies,won,West Indies,lost,2nd,Bangladesh,Dhaka,15-Oct-11,Bangladesh,Away,Home,2nd,first,lost,8 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,lost,West Indies,won,first,West Indies,Dhaka,15-Oct-11,Bangladesh,Home,Away,first,2nd,won,8 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,lost,2nd,England,Delhi,17-Oct-11,India,Home,Away,2nd,first,lost,8 wickets,won,flat/dead/dry,2ndinningwinner,flat/dead
England,lost,India,won,first,India,Delhi,17-Oct-11,India,Away,Home,first,2nd,won,8 wickets,lost,flat/dead/dry,2ndinningwinner,flat/dead
Bangladesh,won,Bangladesh,won,2nd,West Indies,Chattogram,18-Oct-11,Bangladesh,Home,Away,2nd,first,won,8 wickets,lost,slow/dead/flat,2ndinningwinner,slow/dusty
West Indies,lost,Bangladesh,lost,first,Bangladesh,Chattogram,18-Oct-11,Bangladesh,Away,Home,first,2nd,lost,8 wickets,won,slow/dead/flat,2ndinningwinner,slow/dusty
Australia,won,Australia,lost,first,South Africa,Centurion,19-Oct-11,South Africa,Away,Home,first,2nd,lost,93 runs,won,fast/green/low bounce,1stinningwinner,fast/high bounce
South Africa,lost,Australia,won,2nd,Australia,Centurion,19-Oct-11,South Africa,Home,Away,2nd,first,won,93 runs,lost,fast/green/low bounce,1stinningwinner,fast/high bounce
New Zealand,won,New Zealand,lost,2nd,Zimbabwe,Harare,20-Oct-11,Zimbabwe,Away,Home,2nd,first,lost,9 wickets,won,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,New Zealand,won,first,New Zealand,Harare,20-Oct-11,Zimbabwe,Home,Away,first,2nd,won,9 wickets,lost,slow/low,2ndinningwinner,slow/dusty
India,won,India,lost,2nd,England,Mohali,20-Oct-11,India,Home,Away,2nd,first,lost,5 wickets,won,flat/dead/bouncy,2ndinningwinner,flat/dead
England,lost,India,won,first,India,Mohali,20-Oct-11,India,Away,Home,first,2nd,won,5 wickets,lost,flat/dead/bouncy,2ndinningwinner,flat/dead
New Zealand,won,New Zealand,won,2nd,Zimbabwe,Harare,22-Oct-11,Zimbabwe,Away,Home,2nd,first,won,4 wickets,lost,slow/low,2ndinningwinner,slow/dusty
Zimbabwe,lost,New Zealand,lost,first,New Zealand,Harare,22-Oct-11,Zimbabwe,Home,Away,first,2nd,lost,4 wickets,won,slow/low,2ndinningwinner,slow/dusty
India,won,India,lost,2nd,England,Mumbai,23-Oct-11,India,Home,Away,2nd,first,lost,6 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
England,lost,India,won,first,India,Mumbai,23-Oct-11,India,Away,Home,first,2nd,won,6 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
South Africa,won,South Africa,won,first,Australia,Port Elizabeth,23-Oct-11,South Africa,Home,Away,first,2nd,won,80 runs,lost,fast/ low bounce,1stinningwinner,fast/high bounce
Australia,lost,South Africa,lost,2nd,South Africa,Port Elizabeth,23-Oct-11,South Africa,Away,Home,2nd,first,lost,80 runs,won,fast/ low bounce,1stinningwinner,fast/high bounce
Zimbabwe,won,Zimbabwe,lost,2nd,New Zealand,Bulawayo,25-Oct-11,Zimbabwe,Home,Away,2nd,first,lost,1 wickets,won,slow/low,2ndinningwinner,slow/dusty
New Zealand,lost,Zimbabwe,won,first,Zimbabwe,Bulawayo,25-Oct-11,Zimbabwe,Away,Home,first,2nd,won,1 wickets,lost,slow/low,2ndinningwinner,slow/dusty
India,won,India,lost,first,England,Kolkata,25-Oct-11,India,Home,Away,first,2nd,lost,95 runs,won,slow/dead/flat,1stinningwinner,flat/dead
England,lost,India,won,2nd,India,Kolkata,25-Oct-11,India,Away,Home,2nd,first,won,95 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
Australia,won,Australia,lost,2nd,South Africa,Durban,28-Oct-11,South Africa,Away,Home,2nd,first,lost,3 wickets,won,green/fast/ bouncy,2ndinningwinner,fast/high bounce
South Africa,lost,Australia,won,first,Australia,Durban,28-Oct-11,South Africa,Home,Away,first,2nd,won,3 wickets,lost,green/fast/ bouncy,2ndinningwinner,fast/high bounce
Sri Lanka,lost,Pakistan,won,first,Pakistan,Dubai (DSC),11-Nov-11,U.A.E,Neutral,Neutral,first,2nd,won,8 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
Sri Lanka,won,Sri Lanka,won,first,Pakistan,Dubai (DSC),14-Nov-11,U.A.E,Neutral,Neutral,first,2nd,won,25 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
Sri Lanka,lost,Pakistan,lost,2nd,Pakistan,Dubai (DSC),18-Nov-11,U.A.E,Neutral,Neutral,2nd,first,lost,21 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
Sri Lanka,lost,Pakistan,lost,2nd,Pakistan,Sharjah,20-Nov-11,U.A.E,Neutral,Neutral,2nd,first,lost,26 runs,won,flat/dead\dry,1stinningwinner,flat/dead/dry
Sri Lanka,lost,Pakistan,won,first,Pakistan,Abu Dhabi,23-Nov-11,Abu Dhabi,Neutral,Neutral,first,2nd,won,3 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
India,won,India,won,2nd,West Indies,Cuttack,29-Nov-11,India,Home,Away,2nd,first,won,1 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
West Indies,lost,India,lost,first,India,Cuttack,29-Nov-11,India,Away,Home,first,2nd,lost,1 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
Bangladesh,lost,Pakistan,won,first,Pakistan,Dhaka,1-Dec-11,Bangladesh,Home,Away,first,2nd,won,5 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,won,India,won,2nd,West Indies,Visakhapatnam,2-Dec-11,India,Home,Away,2nd,first,won,5 wickets,lost,slow/dead/flat,2ndinningwinner,flat/dead
West Indies,lost,India,lost,first,India,Visakhapatnam,2-Dec-11,India,Away,Home,first,2nd,lost,5 wickets,won,slow/dead/flat,2ndinningwinner,flat/dead
Bangladesh,lost,Pakistan,lost,2nd,Pakistan,Dhaka,3-Dec-11,Bangladesh,Home,Away,2nd,first,lost,76 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,won,West Indies,lost,first,India,Ahmedabad,5-Dec-11,India,Away,Home,first,2nd,lost,16 runs,won,slow/dead/flat,1stinningwinner,flat/dead
India,lost,West Indies,won,2nd,West Indies,Ahmedabad,5-Dec-11,India,Home,Away,2nd,first,won,16 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
Bangladesh,lost,Pakistan,lost,2nd,Pakistan,Chattogram,6-Dec-11,Bangladesh,Home,Away,2nd,first,lost,58 runs,won,slow/dead/flat,1stinningwinner,slow/dusty
India,won,India,won,first,West Indies,Indore,8-Dec-11,India,Home,Away,first,2nd,won,153 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
West Indies,lost,India,lost,2nd,India,Indore,8-Dec-11,India,Away,Home,2nd,first,lost,153 runs,won,slow/dead/flat,1stinningwinner,flat/dead
India,won,India,won,first,West Indies,Chennai,11-Dec-11,India,Home,Away,first,2nd,won,34 runs,lost,slow/dead/flat,1stinningwinner,flat/dead
West Indies,lost,India,lost,2nd,India,Chennai,11-Dec-11,India,Away,Home,2nd,first,lost,34 runs,won,slow/dead/flat,1stinningwinner,flat/dead
South Africa,won,South Africa,won,first,Sri Lanka,Paarl,11-Jan-12,South Africa,Home,Away,first,2nd,won,258 runs,lost,fast/ low bounce,1stinningwinner,fast/high bounce
Sri Lanka,lost,South Africa,lost,2nd,South Africa,Paarl,11-Jan-12,South Africa,Away,Home,2nd,first,lost,258 runs,won,fast/ low bounce,1stinningwinner,fast/high bounce
South Africa,won,South Africa,won,2nd,Sri Lanka,East London,14-Jan-12,South Africa,Home,Away,2nd,first,won,5 wickets,lost,green,2ndinningwinner,fast/high bounce
Sri Lanka,lost,South Africa,lost,first,South Africa,East London,14-Jan-12,South Africa,Away,Home,first,2nd,lost,5 wickets,won,green,2ndinningwinner,fast/high bounce
South Africa,won,South Africa,lost,2nd,Sri Lanka,Bloemfontein,17-Jan-12,South Africa,Home,Away,2nd,first,lost,4 runs,won,fast/low bounce,1stinningwinner,fast/high bounce
Sri Lanka,lost,South Africa,won,first,South Africa,Bloemfontein,17-Jan-12,South Africa,Away,Home,first,2nd,won,4 runs,lost,fast/low bounce,1stinningwinner,fast/high bounce
Sri Lanka,won,Sri Lanka,lost,2nd,South Africa,Kimberley,20-Jan-12,South Africa,Away,Home,2nd,first,lost,5 wickets,won,fast/green/low bounce,2ndinningwinner,fast/high bounce
South Africa,lost,Sri Lanka,won,first,Sri Lanka,Kimberley,20-Jan-12,South Africa,Home,Away,first,2nd,won,5 wickets,lost,fast/green/low bounce,2ndinningwinner,fast/high bounce
Sri Lanka,won,Sri Lanka,won,2nd,South Africa,Johannesburg,22-Jan-12,South Africa,Away,Home,2nd,first,won,2 wickets,lost,green/fast/ bouncy,2ndinningwinner,fast/high bounce
South Africa,lost,Sri Lanka,lost,first,Sri Lanka,Johannesburg,22-Jan-12,South Africa,Home,Away,first,2nd,lost,2 wickets,won,green/fast/ bouncy,2ndinningwinner,fast/high bounce
New Zealand,won,New Zealand,lost,first,Zimbabwe,Dunedin,3-Feb-12,New Zealand,Home,Away,first,2nd,lost,90 runs,won,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
Zimbabwe,lost,New Zealand,won,2nd,New Zealand,Dunedin,3-Feb-12,New Zealand,Away,Home,2nd,first,won,90 runs,lost,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
Australia,won,Australia,lost,first,India,Melbourne,5-Feb-12,Australia,Home,Away,first,2nd,lost,65 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
India,lost,Australia,won,2nd,Australia,Melbourne,5-Feb-12,Australia,Away,Home,2nd,first,won,65 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
New Zealand,won,New Zealand,lost,first,Zimbabwe,Whangarei,6-Feb-12,New Zealand,Home,Away,first,2nd,lost,141 runs,won,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
Zimbabwe,lost,New Zealand,won,2nd,New Zealand,Whangarei,6-Feb-12,New Zealand,Away,Home,2nd,first,won,141 runs,lost,green/fast/bouncy,1stinningwinner,fast/green/swing/bouncy
India,won,India,lost,2nd,Sri Lanka,Perth,8-Feb-12,Australia,Neutral,Neutral,2nd,first,lost,4 wickets,won,fast/bouncy,2ndinningwinner,fast/ high bounce
Sri Lanka,lost,India,won,first,India,Perth,8-Feb-12,Australia,Neutral,Neutral,first,2nd,won,4 wickets,lost,fast/bouncy,2ndinningwinner,fast/ high bounce
New Zealand,won,New Zealand,won,first,Zimbabwe,Napier,9-Feb-12,New Zealand,Home,Away,first,2nd,won,202 runs,lost,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Zimbabwe,lost,New Zealand,lost,2nd,New Zealand,Napier,9-Feb-12,New Zealand,Away,Home,2nd,first,lost,202 runs,won,fast/green/bouncy,1stinningwinner,fast/green/swing/bouncy
Australia,won,Australia,lost,first,Sri Lanka,Perth,10-Feb-12,Australia,Home,Away,first,2nd,lost,5 runs,won,fast/bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,lost,Australia,won,2nd,Australia,Perth,10-Feb-12,Australia,Away,Home,2nd,first,won,5 runs,lost,fast/bouncy,1stinningwinner,fast/ high bounce
Afghanistan,lost,Pakistan,won,first,Pakistan,Sharjah,10-Feb-12,U.A.E,Neutral,Neutral,first,2nd,won,7 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
India,won,India,lost,2nd,Australia,Adelaide,12-Feb-12,Australia,Away,Home,2nd,first,lost,4 wickets,won, fast/dusty/dry,2ndinningwinner,fast/ high bounce
Australia,lost,India,won,first,India,Adelaide,12-Feb-12,Australia,Home,Away,first,2nd,won,4 wickets,lost, fast/dusty/dry,2ndinningwinner,fast/ high bounce
England,won,England,won,first,Pakistan,Abu Dhabi,13-Feb-12,Abu Dhabi,Neutral,Neutral,first,2nd,won,130 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
England,won,England,won,first,Pakistan,Abu Dhabi,15-Feb-12,Abu Dhabi,Neutral,Neutral,first,2nd,won,20 runs,lost,flat/dead\dry,1stinningwinner,flat/dead/dry
Sri Lanka,won,Australia,lost,2nd,Australia,Sydney,17-Feb-12,Australia,Away,Home,2nd,first,lost,8 wickets,won,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
Australia,lost,Sri Lanka,won,first,Sri Lanka,Sydney,17-Feb-12,Australia,Home,Away,first,2nd,won,8 wickets,lost,fast/ dusty/bouncy/dry,2ndinningwinner,fast/ high bounce
England,won,England,lost,2nd,Pakistan,Dubai (DSC),18-Feb-12,U.A.E,Neutral,Neutral,2nd,first,lost,9 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
Australia,won,Australia,won,first,India,Brisbane,19-Feb-12,Australia,Home,Away,first,2nd,won,110 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
India,lost,Australia,lost,2nd,Australia,Brisbane,19-Feb-12,Australia,Away,Home,2nd,first,lost,110 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,won,first,India,Brisbane,21-Feb-12,Australia,Neutral,Neutral,first,2nd,won,51 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
India,lost,Sri Lanka,lost,2nd,Sri Lanka,Brisbane,21-Feb-12,Australia,Neutral,Neutral,2nd,first,lost,51 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
England,won,England,lost,2nd,Pakistan,Dubai (DSC),21-Feb-12,U.A.E,Neutral,Neutral,2nd,first,lost,4 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
Sri Lanka,won,Sri Lanka,lost,2nd,Australia,Hobart,24-Feb-12,Australia,Away,Home,2nd,first,lost,3 wickets,won, fast/bouncy,2ndinningwinner,fast/ high bounce
Australia,lost,Sri Lanka,won,first,Sri Lanka,Hobart,24-Feb-12,Australia,Home,Away,first,2nd,won,3 wickets,lost, fast/bouncy,2ndinningwinner,fast/ high bounce
South Africa,won,South Africa,lost,2nd,New Zealand,Wellington,25-Feb-12,New Zealand,Away,Home,2nd,first,lost,6 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,South Africa,won,first,South Africa,Wellington,25-Feb-12,New Zealand,Home,Away,first,2nd,won,6 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,won,Australia,won,first,India,Sydney,26-Feb-12,Australia,Home,Away,first,2nd,won,87 runs,lost,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
India,lost,Australia,lost,2nd,Australia,Sydney,26-Feb-12,Australia,Away,Home,2nd,first,lost,87 runs,won,fast/ dusty/bouncy/dry,1stinningwinner,fast/ high bounce
India,won,India,won,2nd,Sri Lanka,Hobart,28-Feb-12,Australia,Neutral,Neutral,2nd,first,won,7 wickets,lost, fast/bouncy,2ndinningwinner,fast/ high bounce
Sri Lanka,lost,India,lost,first,India,Hobart,28-Feb-12,Australia,Neutral,Neutral,first,2nd,lost,7 wickets,won, fast/bouncy,2ndinningwinner,fast/ high bounce
South Africa,won,South Africa,won,2nd,New Zealand,Napier,29-Feb-12,New Zealand,Away,Home,2nd,first,won,6 wickets,lost,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,South Africa,lost,first,South Africa,Napier,29-Feb-12,New Zealand,Home,Away,first,2nd,lost,6 wickets,won,fast/green/bouncy,2ndinningwinner,fast/green/swing/bouncy
Sri Lanka,won,Sri Lanka,won,first,Australia,Melbourne,2-Mar-12,Australia,Away,Home,first,2nd,won,9 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
Australia,lost,Sri Lanka,lost,2nd,Sri Lanka,Melbourne,2-Mar-12,Australia,Home,Away,2nd,first,lost,9 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
South Africa,won,South Africa,won,2nd,New Zealand,Auckland,3-Mar-12,New Zealand,Away,Home,2nd,first,won,5 wickets,lost,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
New Zealand,lost,South Africa,lost,first,South Africa,Auckland,3-Mar-12,New Zealand,Home,Away,first,2nd,lost,5 wickets,won,green/fast/bouncy,2ndinningwinner,fast/green/swing/bouncy
Australia,won,Australia,won,first,Sri Lanka,Brisbane,4-Mar-12,Australia,Home,Away,first,2nd,won,15 runs,lost,fast/ bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,lost,Australia,lost,2nd,Australia,Brisbane,4-Mar-12,Australia,Away,Home,2nd,first,lost,15 runs,won,fast/ bouncy,1stinningwinner,fast/ high bounce
Sri Lanka,won,Sri Lanka,lost,2nd,Australia,Adelaide,6-Mar-12,Australia,Away,Home,2nd,first,lost,8 wickets,won, fast/dusty/dry,2ndinningwinner,fast/ high bounce
Australia,lost,Sri Lanka,won,first,Sri Lanka,Adelaide,6-Mar-12,Australia,Home,Away,first,2nd,won,8 wickets,lost, fast/dusty/dry,2ndinningwinner,fast/ high bounce
Australia,won,Australia,lost,first,Sri Lanka,Adelaide,8-Mar-12,Australia,Home,Away,first,2nd,lost,16 runs,won, fast/dusty/dry,1stinningwinner,fast/ high bounce
Sri Lanka,lost,Australia,won,2nd,Australia,Adelaide,8-Mar-12,Australia,Away,Home,2nd,first,won,16 runs,lost, fast/dusty/dry,1stinningwinner,fast/ high bounce
Bangladesh,lost,Pakistan,won,2nd,Pakistan,Dhaka,11-Mar-12,Bangladesh,Home,Away,2nd,first,won,21 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
India,won,India,lost,first,Sri Lanka,Dhaka,13-Mar-12,Bangladesh,Neutral,Neutral,first,2nd,lost,50 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Sri Lanka,lost,India,won,2nd,India,Dhaka,13-Mar-12,Bangladesh,Neutral,Neutral,2nd,first,won,50 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Sri Lanka,lost,Pakistan,won,first,Pakistan,Dhaka,15-Mar-12,Bangladesh,Neutral,Neutral,first,2nd,won,6 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,won,Bangladesh,won,2nd,India,Dhaka,16-Mar-12,Bangladesh,Home,Away,2nd,first,won,5 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
India,lost,Bangladesh,lost,first,Bangladesh,Dhaka,16-Mar-12,Bangladesh,Away,Home,first,2nd,lost,5 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Australia,won,Australia,won,first,West Indies,Kingstown,16-Mar-12,West Indies,Away,Home,first,2nd,won,64 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,lost,Australia,lost,2nd,Australia,Kingstown,16-Mar-12,West Indies,Home,Away,2nd,first,lost,64 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
India,won,India,lost,2nd,Pakistan,Dhaka,18-Mar-12,Bangladesh,Neutral,Neutral,2nd,first,lost,6 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
West Indies,won,West Indies,won,2nd,Australia,Kingstown,18-Mar-12,West Indies,Home,Away,2nd,first,won,5 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
Australia,lost,West Indies,lost,first,West Indies,Kingstown,18-Mar-12,West Indies,Away,Home,first,2nd,lost,5 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,won,Bangladesh,won,2nd,Sri Lanka,Dhaka,20-Mar-12,Bangladesh,Home,Away,2nd,first,won,5 wickets,lost,slow/low/dusty,2ndinningwinner,slow/dusty
Sri Lanka,lost,Bangladesh,lost,first,Bangladesh,Dhaka,20-Mar-12,Bangladesh,Away,Home,first,2nd,lost,5 wickets,won,slow/low/dusty,2ndinningwinner,slow/dusty
Bangladesh,lost,Pakistan,won,2nd,Pakistan,Dhaka,22-Mar-12,Bangladesh,Home,Away,2nd,first,won,2 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,won,West Indies,lost,first,Australia,Gros Islet,23-Mar-12,West Indies,Home,Away,first,2nd,lost,42 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
Australia,lost,West Indies,won,2nd,West Indies,Gros Islet,23-Mar-12,West Indies,Away,Home,2nd,first,won,42 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Australia,won,Australia,lost,first,West Indies,Gros Islet,25-Mar-12,West Indies,Away,Home,first,2nd,lost,30 runs,won,slow/low/dusty,1stinningwinner,slow/dusty
West Indies,lost,Australia,won,2nd,Australia,Gros Islet,25-Mar-12,West Indies,Home,Away,2nd,first,won,30 runs,lost,slow/low/dusty,1stinningwinner,slow/dusty
Netherlands,won,Netherlands,lost,2nd,Afghanistan,Sharjah,29-Mar-12,U.A.E,Neutral,Neutral,2nd,first,lost,9 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
Afghanistan,lost,Netherlands,won,first, Netherlands,Sharjah,29-Mar-12,U.A.E,Neutral,Neutral,first,2nd,won,9 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
Afghanistan,won,Afghanistan,won,2nd, Netherlands,Sharjah,31-Mar-12,U.A.E,Neutral,Neutral,2nd,first,won,5 wickets,lost,flat/dead\dry,2ndinningwinner,flat/dead/dry
Netherlands,lost,Afghanistan,lost,first,Afghanistan,Sharjah,31-Mar-12,U.A.E,Neutral,Neutral,first,2nd,lost,5 wickets,won,flat/dead\dry,2ndinningwinner,flat/dead/dry
Sri Lanka,lost,Pakistan,won,first,Pakistan,Pallekele,7-Jun-12,Sri Lanka,Home,Away,first,2nd,won,6 wickets,lost,dry/dusty,2ndinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,won,first,Pakistan,Pallekele,9-Jun-12,Sri Lanka,Home,Away,first,2nd,won,76 runs,lost,dry/dusty,1stinningwinner,dry/dusty
Sri Lanka,won,Sri Lanka,won,first,Pakistan,Colombo (RPS),16-Jun-12,Sri Lanka,Home,Away,first,2nd,won,44 runs,lost,dry/dusty,1stinningwinner,dry/dusty
England,won,England,lost,first,West Indies,Southampton,16-Jun-12,England,Home,Away,first,2nd,lost,114 runs,won, green/bouncy,1stinningwinner,fast/green/bouncy/swing
West Indies,lost,England,won,2nd,England,Southampton,16-Jun-12,England,Away,Home,2nd,first,won,114 runs,lost, green/bouncy,1stinningwinner,fast/green/bouncy/swing
Sri Lanka,won,Sri Lanka,lost,2nd,Pakistan,Colombo (RPS),18-Jun-12,Sri Lanka,Home,Away,2nd,first,lost,2 wickets,won,dry/dusty,2ndinningwinner,dry/dusty
England,won,England,won,2nd,West Indies,The Oval,19-Jun-12,England,Home,Away,2nd,first,won,8 wickets,lost,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
West Indies,lost,England,lost,first,England,The Oval,19-Jun-12,England,Away,Home,first,2nd,lost,8 wickets,won,green/bouncy,2ndinningwinner,fast/green/bouncy/swing
England,won,England,lost,first,Australia,Lords,29-Jun-12,England,Home,Away,first,2nd,lost,15 runs,won,green,1stinningwinner,fast/green/bouncy/swing
Australia,lost,England,won,2nd,England,Lords,29-Jun-12,England,Away,Home,2nd,first,won,15 runs,lost,green,1stinningwinner,fast/green/bouncy/swing
